-0.12229,-0.1471,-0.16375,-0.1753,-0.18201,-0.18672,-0.19247,-0.19953,-0.19864,-0.19748,-0.1966,-0.19337,-0.19187,-0.19181,-0.19205,-0.19228,-0.19386,-0.19338,-0.19098,-0.18507
0.95548,0.95619,0.95734,0.95904,0.96177,0.96625,0.96794,0.96899,0.96852,0.96956,0.97143,0.97137,0.97321,0.97468,0.97727,0.98123,0.98255,0.9851,0.98744,0.99042
0.93181,0.93254,0.93421,0.93663,0.93972,0.94641,0.94842,0.95202,0.9541,0.95545,0.95663,0.9582,0.95919,0.96046,0.96326,0.96654,0.97052,0.97469,0.97841,0.98162
0.96194,0.95884,0.95813,0.95785,0.95657,0.95566,0.95468,0.95313,0.95282,0.95327,0.95341,0.95646,0.95852,0.96311,0.96783,0.97521,0.97875,0.97894,0.98062,0.98188
0.47135,0.47364,0.4783,0.48245,0.48281,0.48707,0.49507,0.50146,0.50138,0.49632,0.49727,0.49394,0.48781,0.47916,0.46901,0.45703,0.45498,0.45115,0.44847,0.44721
0.88955,0.88317,0.86098,0.85723,0.84422,0.82645,0.82849,0.83621,0.88694,0.90407,0.89929,0.92783,0.93202,0.93844,0.94365,0.94787,0.95095,0.95254,0.95329,0.95293
0.94889,0.9333,0.92727,0.92351,0.91959,0.91648,0.92111,0.92877,0.93814,0.94506,0.9549,0.9721,0.98478,0.99188,0.995,0.9955,0.9958,0.99605,0.99563,0.99535
0.99388,0.99568,0.99529,0.99458,0.99364,0.9932,0.98967,0.98325,0.9872,0.99056,0.98976,0.99289,0.994,0.99642,0.99823,0.99778,0.99718,0.99783,0.99842,0.99847
-0.47301,-0.47162,-0.47343,-0.47306,-0.47163,-0.47141,-0.47231,-0.47322,-0.47616,-0.47915,-0.47958,-0.47976,-0.4789,-0.47787,-0.4757,-0.47419,-0.46905,-0.46415,-0.45844,-0.45216
0.90515,0.9028,0.90113,0.89916,0.89743,0.89494,0.89127,0.88705,0.88324,0.88116,0.88104,0.88067,0.88143,0.88294,0.88382,0.88476,0.88775,0.89032,0.89579,0.90149
0.98562,0.98585,0.98559,0.98499,0.98528,0.98491,0.9843,0.98409,0.98357,0.98336,0.98323,0.98317,0.98282,0.98274,0.98256,0.9825,0.98235,0.98222,0.98209,0.98207
0.99983,0.99958,0.99914,0.99899,0.99881,0.9985,0.99847,0.99802,0.99766,0.99775,0.99773,0.99768,0.99786,0.99812,0.99798,0.99774,0.99678,0.99589,0.9934,0.98877
0.37651,0.37836,0.37729,0.37676,0.37653,0.37652,0.37619,0.37615,0.37554,0.37477,0.37496,0.37493,0.3751,0.37508,0.37513,0.37545,0.37753,0.37703,0.37688,0.37706
0.94972,0.95072,0.94998,0.9496,0.94922,0.94757,0.94862,0.94766,0.9472,0.94772,0.94808,0.94926,0.94915,0.94909,0.94901,0.94877,0.94881,0.9487,0.94882,0.94914
0.99901,0.99915,0.99915,0.99919,0.99921,0.99922,0.99929,0.99929,0.99929,0.99928,0.99927,0.99928,0.99932,0.99931,0.99933,0.99935,0.99937,0.99937,0.99933,0.9993
0.87056,0.86953,0.86863,0.86727,0.86606,0.86632,0.86579,0.86547,0.86513,0.86478,0.86442,0.86339,0.86352,0.86324,0.86313,0.86297,0.86199,0.86181,0.86099,0.86112
-0.37721,-0.37742,-0.37725,-0.37653,-0.37557,-0.38099,-0.38331,-0.38713,-0.38587,-0.3847,-0.38389,-0.3859,-0.38698,-0.38755,-0.38786,-0.38789,-0.38771,-0.38756,-0.38737,-0.38703
0.94644,0.94539,0.94533,0.94518,0.94525,0.94535,0.94564,0.94607,0.94666,0.94633,0.94655,0.94589,0.94614,0.94569,0.94581,0.94625,0.94692,0.94717,0.94874,0.94977
0.99656,0.99634,0.99629,0.99631,0.99632,0.99633,0.99633,0.99634,0.99635,0.99637,0.99641,0.99648,0.99663,0.9971,0.9971,0.99762,0.99759,0.99775,0.9979,0.99805
0.9751,0.96871,0.95667,0.93911,0.91933,0.90449,0.89267,0.88518,0.87655,0.87695,0.87349,0.87131,0.86949,0.86838,0.86797,0.86777,0.86527,0.86504,0.8647,0.86381
